,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
166,1.6416461,1.4708372,2.9088943,2.233538,1.5484008,2.9346375,1.4418863,1.4796329,1.4728435,2.6480753
167,1.6347877,1.4306047,2.9951065,2.154094,1.5244324,2.96355,1.4287279,1.4413303,1.443673,2.66312
168,1.6584291,1.4613552,2.9943395,2.2084796,1.4693792,2.918443,1.4079804,1.4085469,1.4866142,2.6174538
169,1.652361,1.4403177,2.995083,2.180844,1.4999007,2.906742,1.4718052,1.4757104,1.4696262,2.6201494
170,1.6516082,1.4630294,3.0039616,2.2130685,1.4992673,2.9090488,1.4550567,1.4393517,1.4829048,2.5814238
171,1.6241075,1.403466,2.929147,2.1764245,1.5326613,2.9022331,1.4538285,1.4280872,1.4461112,2.5608323
172,1.7081333,1.4796683,2.974078,2.2228675,1.4761527,2.895841,1.4632994,1.4815104,1.4676589,2.6100037
173,1.7010224,1.4491833,2.965247,2.2260947,1.6169767,2.8980143,1.5264629,1.4593532,1.4163357,2.5997758
174,1.6602645,1.4275885,2.9436722,2.1997435,1.50154,2.891677,1.4195696,1.4108604,1.4282581,2.5657315
175,1.6116737,1.5053627,2.9613721,2.1538818,1.4620416,2.9578178,1.4770895,1.4231111,1.4170771,2.69268
176,1.6834185,1.4879923,2.9396558,2.2221727,1.534187,2.899773,1.4066478,1.5313538,1.457289,2.588959
177,1.6415008,1.4849627,2.971658,2.1861644,1.4500355,2.9311874,1.4407495,1.4062064,1.4046463,2.5498018
178,1.7274863,1.4242141,3.0183017,2.1600535,1.5158792,2.9286113,1.3783828,1.4456271,1.4822038,2.5705912
179,1.6643779,1.4361027,2.909327,2.2555459,1.5464262,2.9180088,1.465363,1.4043893,1.477409,2.5630965
180,1.6926268,1.4180754,2.9657345,2.2220728,1.5465965,2.9338505,1.3918687,1.4665607,1.450411,2.635655
181,1.6856601,1.4276642,2.9361186,2.2823064,1.491421,2.9305344,1.4674302,1.466209,1.5056896,2.580966
182,1.6156573,1.4094374,2.9053674,2.178071,1.5459161,2.9285054,1.4189079,1.4465665,1.434481,2.603731
183,1.6735241,1.4530289,2.9326386,2.1227188,1.5127524,2.9176278,1.4504578,1.4827613,1.4403191,2.5950432
184,1.6713841,1.4172127,3.018911,2.1772761,1.5668633,2.9262557,1.3589951,1.480738,1.4458278,2.594132
185,1.6057947,1.4165082,2.9733634,2.2706356,1.5213069,2.9127796,1.4851781,1.4765376,1.5200124,2.556804
186,1.5914073,1.4833332,2.977115,2.1410286,1.5421821,2.9232879,1.422012,1.4024724,1.4911726,2.589258
187,1.656492,1.4601146,2.9556804,2.209741,1.4587035,2.926618,1.4320984,1.5111564,1.4685524,2.531895
188,1.6123161,1.4376906,2.9749625,2.2115967,1.5201758,2.9159591,1.4363041,1.4725208,1.4422576,2.504317
189,1.6130134,1.4078385,2.9798005,2.2662466,1.5456791,2.9210947,1.4652926,1.422743,1.4777318,2.5893538
190,1.6159922,1.4471893,2.898233,2.1775603,1.5220621,2.9234838,1.4347299,1.4462944,1.4463644,2.6108472
191,1.6799467,1.4305023,2.9823916,2.212009,1.5498228,2.9033513,1.4012355,1.4360908,1.5115576,2.6160564
192,1.6003822,1.4818059,2.9843369,2.183072,1.5326751,2.941329,1.3970094,1.4904813,1.4439142,2.6263804
193,1.6569989,1.4746945,2.9596374,2.2194111,1.5319535,2.9225428,1.4392844,1.4609877,1.3713197,2.5382564
194,1.6533499,1.4857842,2.942314,2.1341891,1.5115582,2.9288864,1.4401709,1.44429,1.4625531,2.596441
195,1.6186696,1.4584905,2.916233,2.2314737,1.5568417,2.9052775,1.4252445,1.4556899,1.4379741,2.5369666
196,1.7018641,1.4437816,2.9565315,2.1697636,1.4864239,2.9215207,1.4792502,1.4568084,1.488325,2.6004655
197,1.6702646,1.3946115,2.928545,2.1979094,1.5069319,2.9328914,1.479249,1.4457964,1.5081859,2.6420672
198,1.6518689,1.4193957,2.9591393,2.1432786,1.4926447,2.9034376,1.4796232,1.4381897,1.4662538,2.5223107
199,1.6818141,1.4380118,2.962076,2.219941,1.539896,2.9126582,1.444512,1.4707711,1.4851524,2.466742
200,1.7159183,1.4532875,2.9674451,2.1926863,1.5130754,2.9367087,1.4124541,1.472832,1.4392005,2.525556
201,1.7019535,1.4261837,2.9826953,2.1590173,1.4748018,2.9170573,1.4371475,1.3545218,1.4405549,2.586729
202,1.7145116,1.4182162,2.9261305,2.1824298,1.519404,2.9277067,1.430539,1.4405638,1.4370002,2.6210392
203,1.7085897,1.3924791,2.9546711,2.1440635,1.5616903,2.9275327,1.4368256,1.4529287,1.4543011,2.5607698
204,1.6738849,1.4389963,2.941487,2.18884,1.4956046,2.9289823,1.4289345,1.4882462,1.4403116,2.547799
205,1.6951414,1.4363079,2.899354,2.1252177,1.5581646,2.9230509,1.3990445,1.4768004,1.4479893,2.5512373
206,1.641773,1.4720662,2.8776793,2.2078042,1.542885,2.9376948,1.4426435,1.4745704,1.4728415,2.5619974
207,1.621898,1.435219,2.9628575,2.1396034,1.5256389,2.9660254,1.4298903,1.435197,1.4444106,2.5829837
208,1.6447738,1.4620198,2.9549553,2.1818416,1.4620873,2.9217765,1.4045148,1.4053551,1.4872612,2.5024972
209,1.6653118,1.4417727,2.964365,2.1587288,1.4954295,2.9093313,1.4685521,1.4654236,1.4700782,2.5050817
