,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
186,1.9720281,1.4394884,3.2827885,2.510724,1.5333438,3.649999,1.4416689,1.4421461,1.4600146,2.7589917
187,1.9496187,1.4330112,3.267436,2.4983208,1.5247012,3.6259918,1.4298855,1.4348497,1.4482323,2.7457373
188,1.9527643,1.4319978,3.2761784,2.50838,1.5276337,3.6263156,1.4390192,1.4365553,1.4466989,2.7534814
189,1.9452063,1.437155,3.2711837,2.4979982,1.5252022,3.6193478,1.4334723,1.4391418,1.4515712,2.7486444
190,1.931287,1.432117,3.2465053,2.4957151,1.5229561,3.587666,1.4280573,1.436391,1.4473116,2.7339127
191,1.9115512,1.4352905,3.230732,2.4848857,1.5260624,3.560792,1.430442,1.4372333,1.4515282,2.729103
192,1.9028065,1.4414161,3.2372227,2.4868913,1.5166577,3.5629685,1.4245256,1.436384,1.4471375,2.727491
193,1.8888667,1.4361359,3.2331336,2.4870286,1.5300208,3.532244,1.4413401,1.4467146,1.4516116,2.727849
194,1.8749483,1.437577,3.2201753,2.4819999,1.5141844,3.526728,1.4284402,1.4365599,1.4577333,2.722187
195,1.8562398,1.4341193,3.2189498,2.479591,1.5183545,3.4967737,1.4281223,1.4336581,1.4606875,2.7090826
196,1.8370852,1.443814,3.1992364,2.473917,1.5283817,3.4837093,1.4398422,1.4404736,1.449853,2.7107422
197,1.815346,1.4312125,3.2204993,2.4727757,1.5267447,3.4884095,1.439662,1.4406832,1.4506418,2.7132573
198,1.78888,1.4367871,3.1887937,2.47559,1.5353343,3.457169,1.4382981,1.4409473,1.4509344,2.7040508
199,1.7745124,1.4277377,3.19752,2.47538,1.531351,3.459859,1.4343499,1.4474897,1.4542128,2.6973581
200,1.7409505,1.4452666,3.17081,2.4674132,1.5239633,3.4148068,1.4410162,1.4410793,1.4526149,2.6841397
